it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.25,12.5652804188187,-25.12833726801,2.90033364797293,31.4567980628852,34.3571317108581,3.98756680026769
2,0.5,12.5627391888477,-25.1186311840943,2.25816496269311,31.8987234438207,34.1568884065138,3.98653619016939
3,0.75,12.560051607421,-25.1093518912203,1.4247955777908,32.6503101354897,34.0751057132805,3.98550123852146
4,1,12.5580508600964,-25.1032965364446,0.654695471302532,33.4726975931821,34.1273930644846,3.98477102315254
5,1.25,12.5570587485373,-25.1009129592399,0.152942935519749,34.1233770444143,34.276319979934,3.98441024629922
6,1.5,12.5573502815016,-25.1024875177946,0.000506006244438557,34.4509565855555,34.4514625917999,3.98441725602631
7,1.75,12.5594697383435,-25.1099972903746,0.1307592972831,34.4540250436958,34.5847843409789,3.98479317342765
8,2,12.5639536882745,-25.1257828425015,0.378282013475863,34.2659531752594,34.6442351887353,3.98566109930017
9,2.25,12.5690854881737,-25.142433039133,0.572172922739679,34.0523958059058,34.6245687286455,3.98710022475571
10,2.5,12.5712941352924,-25.1455357528082,0.611808514635438,33.9259676786073,34.5377761932427,3.98841029185962
11,2.75,12.5694105630412,-25.1327369155762,0.494119424480997,33.9359904766825,34.4301099011635,3.98854229643827
12,3,12.5650447782491,-25.1125012144543,0.292876555925488,34.0619056129047,34.3547821688302,3.9874438718529
13,3.25,12.5599818037297,-25.0921839753046,0.107364390238704,34.2256883923181,34.3330527825568,3.98567072482288
14,3.5,12.555230837055,-25.0751001945011,0.0094986320431097,34.3413406165105,34.3508392485537,3.98371914997581
15,3.75,12.5513073187495,-25.0622469000205,0.0134507886898414,34.3641859952344,34.3776367839243,3.98190781717268
16,4,12.5484522535097,-25.0542192386259,0.0805052239043274,34.3098584640336,34.3903636879379,3.98032690725037
17,4.25,12.5469411609308,-25.0516770126715,0.151503654796967,34.233185858148,34.3846895129449,3.97907371998133
18,4.5,12.5464965707788,-25.0529637943347,0.182452229350415,34.1845781857976,34.367030415148,3.97811213959701
19,4.75,12.5464850788548,-25.0545519473537,0.16225113354293,34.1828983507872,34.3451494843302,3.9774332322929
20,5,12.5461997957359,-25.0533697314753,0.108678337967432,34.2170918990445,34.325770237012,3.97686982997912
21,5.25,12.5452371602052,-25.048503548712,0.0511124267421947,34.2613641306286,34.3124765573708,3.97626752344452
22,5.5,12.5436910680388,-25.0408610679583,0.0125149699811522,34.2915189049451,34.3040338749263,3.97559887235833
23,5.75,12.5417774181368,-25.0320187738591,2.69540191678501e-05,34.2964879963503,34.2965149503695,3.97484897709619
24,6,12.539885441453,-25.0236851192552,0.00651986310719801,34.2809116522298,34.287431515337,3.9741026790183
25,6.25,12.5383725478031,-25.0173479495247,0.0189892640477394,34.2588185027167,34.2778077667645,3.97345133221668
26,6.5,12.5373216792466,-25.0131832287651,0.0270983252625174,34.2421621066761,34.2692604319386,3.97290264632717
27,6.75,12.5366141426489,-25.0102589947033,0.0272035101243254,34.2343168792152,34.2615203893395,3.97248055249845
28,7,12.5359640895122,-25.007082242855,0.0212791320065289,34.2314563916207,34.2527355236272,3.97213572537229
