it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.25,12.5663744140094,-5.82897533662193e-12,2.90033364797293,0.00628323819403518,2.90661688616696,112.099872266459
2,0.5,12.5663814439452,-6.01765990511162e-09,2.25816496269311,0.00628360942566242,2.26444857211877,112.099960584312
3,0.75,12.5663874165589,-3.68820696909871e-08,1.4247955777908,0.00628421348623456,1.43107979127704,112.100030567034
4,1,12.5663926553685,-1.10263826401623e-07,0.654695471302532,0.00628484624722081,0.660980317549753,112.100082140386
5,1.25,12.5663974342736,-2.16441372734219e-07,0.152942935519749,0.00628531803632975,0.159228253556079,112.100121816134
6,1.5,12.5664018519554,-3.03721830498624e-07,0.000506006244438557,0.0062855355669046,0.00679154181134316,112.100155362551
7,1.75,12.5664058990748,-2.96332179803823e-07,0.1307592972831,0.00628553707775555,0.137044834360855,112.100184726071
8,2,12.5664100477786,-1.26033877546103e-07,0.378282013475863,0.00628546443314421,0.384567477909007,112.1002176071
9,2.25,12.5664151060036,2.31596716324369e-07,0.572172922739679,0.00628548695939175,0.57845840969907,112.100263289879
10,2.5,12.566421470298,7.18607851756821e-07,0.611808514635438,0.00628571639705247,0.61809423103249,112.100327018634
11,2.75,12.5664288723857,1.23299024381011e-06,0.494119424480997,0.00628615689821223,0.500405581379209,112.100403192725
12,3,12.5664365343212,1.65128275831165e-06,0.292876555925488,0.00628670952364714,0.299163265449135,112.100480412585
13,3.25,12.5664439728624,1.89651562425674e-06,0.107364390238704,0.00628722328309261,0.113651613521796,112.100551443462
14,3.5,12.5664509846127,1.97213683987897e-06,0.0094986320431097,0.00628756423903821,0.0157861962821479,112.100613594846
15,3.75,12.566457573601,1.9704011785181e-06,0.0134507886898414,0.00628767187516213,0.0197384605650035,112.100668585947
16,4,12.5664637586684,2.03478286891737e-06,0.0805052239043274,0.00628757839618956,0.0867928023005169,112.100718923883
17,4.25,12.5664696787021,2.28877720433715e-06,0.151503654796967,0.00628738487266551,0.157791039669633,112.100766924646
18,4.5,12.5664756084826,2.77792560489398e-06,0.182452229350415,0.006287209295659,0.188739438646074,112.100816651602
19,4.75,12.5664816993962,3.45635006530649e-06,0.16225113354293,0.0062871350324478,0.168538268575378,112.100869887261
20,5,12.5664881535935,4.20383856605249e-06,0.108678337967432,0.00628718318745214,0.114965521154884,112.100929048635
21,5.25,12.566494912977,4.858719473589e-06,0.0511124267421947,0.0062873163184285,0.0573997430606232,112.100992963281
22,5.5,12.5665016703291,5.30255463916962e-06,0.0125149699811522,0.0062874656849736,0.0188024356661258,112.101055804393
23,5.75,12.5665082825058,5.50149618403371e-06,2.69540191678501e-05,0.00628756569014716,0.00631451970931501,112.101115539578
24,6,12.5665146993123,5.50819649331842e-06,0.00651986310719801,0.00628757973599958,0.0128074428431976,112.101172250282
25,6.25,12.5665208739028,5.43519506437154e-06,0.0189892640477394,0.00628750850469237,0.0252767725524317,112.101225792872
26,6.5,12.5665268082434,5.38026815677278e-06,0.0270983252625174,0.00628738162725922,0.0333857068897766,112.101276187712
27,6.75,12.5665326125554,5.42088477790467e-06,0.0272035101243254,0.00628723983497861,0.033490749959304,112.101326438025
